Ċ	64479069
Ġthe	41282115
Ġof	23415454
Ġand	19945604
,	19783382
Ġto	19383332
.	15872767
Ġa	15779290
Ġin	15472416
s	13600392
Ġ	12555872
Ġis	9529768
Ġthat	8213601
Ġfor	7438107
Ġwith	5755504
e	5585919
)	5306088
Ġon	5021609
}	4997525
Ġbe	4865106
ĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠĠ	4757714
Ġas	4620110
Ġwas	4404756
\	4396171
ĠI	4262637
ing	4251444
:	4227821
(	4057454
d	4027101
Ġ=	4012424
{	3958966
Ġby	3953935
ĠĠĠĠ	3942451
Ġare	3927372
ed	3877745
;	3833467
"	3597792
Ġit	3538798
t	3491448
ĠThe	3366985
Ġor	3318279
n	3291607
Ġfrom	3283863
Ġat	3282453
Ġnot	3237138
Â	3159146
Ġthis	3138662
Ġyou	3103422
Ġ-	3066718
a	3052210
Ġhave	2935341
Ġan	2909068
Ġ(	2899156
y	2876579
â	2869680
o	2775517
_	2689228
Ģ	2676010
1	2627737
-	2506384
Ġ"	2498660
ĠĠĠĠĠĠĠĠ	2477699
*	2462136
>	2460339
we	2397316
ly	2326694
ĠA	2273760
Ġ1	2262051
er	2258626
Ġcan	2200086
$	2147837
Ġwere	2090707
Ġ*	2083478
4	2068005
ĉ	2063936
0	2021990
c	2016366
l	2015031
2	1991132
Ã	1976884
Ġwhich	1952139
^	1933841
Ġhas	1920436
<	1909304
r	1895135
Ġ$	1878341
5	1868177
Ġ+	1814676
p	1802649
Ġ{	1799155
Ġe	1797723
âĢĻs	1784902
ĉĉ	1768077
Ġbut	1755849
Ġhis	1753829
Ġdo	1749596
i	1746047
Ġwill	1726736
Ġhe	1718382
ł	1657927
Ġall	1640377
9	1628716
8	1589364
ĠP	1584081
ĠR	1576177
es	1574597
Ġso	1568476
The	1558842
3	1556659
s.	1555275
al	1528165
s,	1510782
ĠM	1509950
T	1508374
m	1506110
Ġs	1489865
Ġthey	1466668
's	1463779
Ġn	1458393
ĠIn	1457080
Ġgr	1440771
ĠD	1432840
Ġo	1427752
?	1418733
Ġone	1411014
Ġtheir	1408046
Ġmore	1382597
u	1381302
[	1370867
in	1352577
P	1352534
ĠB	1346622
x	1340325
]	1337748
ur	1317855
k	1312224
âĢĿ	1311638
Ġwho	1308665
S	1304012
ĠĠĠĠĠĠĠĠĠĠĠĠ	1302586
E	1302360
Ġif	1296591
);	1296378
ĠĠĠ	1293342
Ġhad	1291935
Ġ[	1260499
Ġbeen	1259035
b	1255996
/	1245937
č	1240966
Ġother	1234033
Ġyour	1226045
Ġalso	1213731
te	1202170
Ġse	1198424
'	1194277
I	1192199
ĠS	1191292
Ġwhen	1181608
Ġout	1181308
Ġwould	1174045
A	1173762
6	1170540
Ġde	1170288
Ġabout	1157182
Ġmy	1153147
ĠĠĠĠĠĠ	1152860
ĠE	1148763
C	1145937
ľ	1132019
ent	1124799
on	1118660
ion	1114369
me	1111803
Ġ2	1104805
ic	1103219
Ð	1102625
Ġtim	1085717
=	1079884
Ġthere	1079249
7	1078031
Ġlike	1077367
_{	1069454
Ġ3	1046936
Ġd	1046320
Ġthan	1039017
g	1034910
v	1034055
ĠJ	1027421
N	1025213
).	1018290
h	1017279
Ġpl	992139
H	990679
D	988171
Ġinto	987676
**	986988
Ġits	982134
Ġup	971704
Ġv	968934
ĠC	965623
an	963926
ĠG	963096
nt	961220
se	960871
Ġ&	953319
Ġany	950038
Ġ'	946546
z	946396
f	941360
Ġonly	938769
Ġmay	935616
Ġ4	925811
ra	920934
Ġ0	914095
Ġtwo	911726
----------------	904166
Ġsome	903496
w	902042
Ġher	900664
Ġover	897877
Ġme	896024
Ġun	890411
Ġnew	886362
or	884403
Ġwhat	881175
ach	881048
ĠCo	867269
if	860623
Ġc	859705
ĠL	859172
Ġm	852427
re	852375
M	849304
ĠThis	846976
Ġsuch	846061
ĠIt	840988
."	840841
Ġuse	833952
L	833820
ĠN	833331
Ġre	829500
Ġp	827286
st	824470
ĵ	822053
Ġthese	820605
Ġsaid	820197
nd	819150
Ġfirst	814764
B	807977
#	806920
j	804340
R	802541
Ġjust	795252
Ġafter	792076
In	788736
@	786516
F	781026
ce	779343
Ġ5	774054
ĠĊ	772808
ĠWe	771282
Ġcould	767821
Ġget	767761
),	765737
ck	761875
Ġbetween	756385
Ġla	752240
Ġwhere	749880
ĠĠĠĠĠ	743792
ge	738385
Ġpr	737567
//	737372
Ġfa	732705
le	724668
at	719992
Ġf	718747
Ġthen	718194
en	714903
Ġshe	714481
Ġhigh	709689
|	706558
ĠF	705532
+	703649
ve	702592
!	700534
ll	694039
ĠHe	690711
Ġr	686920
Ġ0.	677250
Ġ.	675464
Ġused	673035
il	670485
Ġle	664885
Ĥ	662479
10	660552
ĠK	659905
it	655420
O	655183
Ġusing	654915
Ġbecause	654131
Ġco	651853
Ġdata	651407
Ġ6	650717
G	650011
Ġdis	646837
Ġhow	645719
us	644888
Ġneed	644663
Ġmost	642642
ĠH	642531
q	641853
Ġk	640551
Ġshould	633455
Ġna	632455
Y	625711
Ġsee	624388
~	624152
V	622495
li	617606
ã	615518
Ġi	613945
Ġthrough	613356
1.	612455
Ġim	610500
Ġthem	607807
Ġmo	599929
Ġex	599443
Ġpeople	595121
ĠCa	594090
able	593607
ĥ	592839
Ġwork	592303
am	590009
th	588454
âĢĻt	588206
ro	585107
Ġunder	583633
Ġho	581204
ity	577649
as	575917
Ġal	574676
="	572659
âĢĶ	572597
Ġpart	570630
Ġ7	568454
ive	566322
Ġdid	564759
Ġj	564430
%	563319
to	563106
Ġpa	562035
ĠPa	561471
ers	561307
ar	560951
de	559099
na	555982
âĢĻ	549813
is	548796
Ġmake	548112
ģ	547136
00	544939
id	543440
Ġnumber	542040
ĠU	541843
ng	541175
Ġcr	540516
ma	538252
lo	536483
Ġsame	532098
ment	531503
Ġeven	530644
Ġdiffer	527649
Ġq	527597
rt	525468
ty	522901
}}	522832
Ġthose	521952
Ġvery	519846
Ġbi	519594
Ġus	518808
Ġ_	518035
ch	517394
ĠO	517130
Ġ|	516799
å	515022
ol	513518
ĠW	513114
Ġres	511925
ay	510658
Ġwa	510256
Ġbeing	508922
Ġboth	508165
\l	506829
Ġsu	505008
Ġ(1	504496
Ġca	504288
ĠT	501512
Ġtr	501215
Re	500572
ate	500257
et	499571
Ġmany	498737
Ġsa	496926
",	496692
Ġab	496483
Ġbefore	495804
ĠFor	495364
âĢī	491484
ry	489704
Ġcar	489284
ted	488972
ĠPr	488053
un	486895
pr	486021
X	484824
K	483706
Ġknow	482767
Ġback	481855
20	481059
Ġwell	480365
ia	478101
Ġfou	473171
ta	473144
ĠĠĠĠĠĠĠĠĠĠ	472309
Ġdu	471593
mi	470777
Ġ8	470637
Ġthink	470020
Ĳ	469659
U	466957
Ġpatient	466918
ation	466145
ul	465191
Ġgo	462054
Ġlo	461602
pp	461546
Ñ	461256
Ġgood	459979
Ġend	457895
Ġcontr	456015
Ġ<	455951
pe	455747
ĠĠĠĠĠĠĠ	450545
ĠV	449434
hi	444792
Ġmade	444287
Ġsp	444216
Q	444021
Ġbr	443167
2.	442292
ĠLet	442269
Ī	441072
&	441044
ĠHa	440072
Ġet	438864
return	438837
Ġhere	438778
um	436855
op	434789
Co	433490
tion	432606
Ġdown	431546
Ġyears	431534
co	430835
Ġway	429902
Ġ@	429530
est	428892
ĠCh	427831
Ġru	426956
Ġhim	425607
Ġmuch	425527
ut	425077
Ġstate	422087
Ġwhile	422071
Ġoff	422069
Ġthree	421091
om	420987
Ġvalue	419940
Ġsupport	418257
Ġwithout	417966
Ġduring	417221
pa	416903
im	415724
Ġ"I	415660
Ġinclude	415257
su	414211
Ġright	413208
ĠIf	413194
Ġdirect	411226
Ġte	410343
Ġcou	410118
n't	408972
1,	408414
po	405652
Ġro	405328
ts	405048
rs	404847
eq	403887
ha	403457
Ġnow	403311
Ġam	402938
Ġform	402650
ec	402482
Ġrec	402280
°	401737
ose	401367
Ġdoes	401057
Ġ9	399353
Ġda	397887
W	397690
em	397440
ĠTo	396850
ĠFi	396686
Ġba	394728
Ġfunction	394469
Ġlong	393720
Ġprocess	391746
`	391689
ĠSa	390990
ad	389873
Ġdef	389252
Ġg	389014
Ġext	387227
Ġma	385517
ĠAs	385284
ne	384510
ns	383803
Ġcourt	382596
e,	381800
Ġagainst	381397
Ġcase	379933
ue	379586
}$	379534
">	378676
Ġl	377442
Ġsc	376797
Ġtake	375483
ĠSu	375133
Ġmust	374582
Se	374237
¸	373119
14	372008
Ġstill	371564
ĠNa	370483
ĠBo	370239
ĠSe	369883
Ġlast	369123
os	369093
Ġ:	368603
©	367087
16	366752
æ	366085
ex	366000
ant	365889
Ġlook	365476
11	365036
à	364917
Ġass	363208
Ġpro	362303
0,	362121
-t	361220
ĠBut	360774
ĠDo	360499
ine	359467
ie	358976
ase	358814
be	357748
Ġx	356602
Ġtest	356321
Ġ,	355801
ĠBe	354326
Ġord	353949
si	353106
Ġsystem	351551
J	351450
Ġag	350267
Ġstudy	349781
ĠAnd	349571
Ġhelp	348161
Ġapp	347852
ct	347210
Ġgene	347106
Ġv.	347020
¼	346530
ot	345795
Let	344905
no	343516
1}	341334
el	340256
Ġfollowing	340063
-c	339154
01	338920
ĠLi	338497
Ġb	338310
Ġow	338139
Ġ$$	337893
Ġclass	337747
ous	337442
Z	336513
bi	336396
',	336216
Ġfind	335941
Ġeffect	335815
Ġ\[[	335208
end	334977
la	334896
ĠOn	334772
?"	334460
Ġgoing	334293
2,	334144
ĠAn	334054
Ġel	333623
Ġsecond	333068
Ġperson	332215
ĠĠĠĠĠĠĠĠĠ	332029
Ġac	331981
ir	331695
Ġ11	331271
Ġevery	331268
he	331135
},	330333
Ĺ	330055
--	329887
Ġint	329368
ace	329290
ĠMi	328425
Ġwithin	327747
Ġresults	327363
Ġsince	326133
We	325176
oup	324251
What	323915
sh	323136
ist	322397
This	321892
Ġper	320891
Ġadd	320421
17	320278
ĠY	319627
To	319416
ting	317740
Ġ12	316847
Ġcells	316578
ĠYou	316363
..	316070
rd	315806
}{	315747
0.0	315129
rr	314791
ĠRa	313759
and	313482
ĠSt	313405
Ġt	313403
Ġch	313262
It	312679
int	312660
cluding	312474
13	311045
¾	310896
":	309876
e.	309806
Î	309248
Ġ/	309024
Ġstart	308593
ral	308417
Ĵ	308205
xt	307060
Ġtype	306946
±	305576
))	304855
Ġarea	304558
Ġinformation	304263
gh	303916
ĠTe	303575
mp	302932
Ġanother	301771
50	301684
Ġanti	301670
pi	301107
tr	300342
/*	300112
Ġy	300042
You	299393
Ġ)	299169
Ġshow	299135
Ġrep	299041
15	299036
mo	298688
Ġmight	298306
Ġta	298174
do	297894
Ġaround	297208
ies	296723
_1	295367
io	295001
Ġreally	294639
ĠU.S.	293636
->	293566
¤	292691
Ġve	292509
Ġgiven	292233
Ġread	291428
ĠMe	291421
2}	290688
out	290683
eat	289561
Ġtry	289319
ĠThey	288894
Ġpoint	288856
ĠCon	288722
Ġcell	288108
NA	287780
Ġ13	286527
Ġhome	286350
ĺ	286258
ble	286233
Ġclass="	285910
Ġbased	285208
Ġlife	285150
ter	284982
1)	284981
\]	284815
the	284223
lt	284098
_s	284014
Ġimag	283674
»	283360
02	283355
$.	283088
put	282488
od	282474
Ġfile	282304
Ġquestion	282256
ĠDa	281169
ure	280459
$,	280254
ER	279090
Ġfact	278735
Ġsay	278078
Ġreal	277750
Ġar	277331
di	277302
)$	277128
-1	276570
ĠSc	276197
ni	276192
Ġpubli	276024
Ġless	275778
tic	275149
ain	274891
ated	274887
ess	274616
Ġpresent	274561
Ġ30	274326
Ġask	274150
ĠHowever,	274038
ĠNew	274013
Ġfree	274003
